
   INFO  Server running on [http://0.0.0.0:8000].  

  Press Ctrl+C to stop the server
  2026-04-16 08:52:00 /api/exams/1/analytics/item-analysis ......... ~ 0.88ms
  2026-04-16 08:52:00 /api/exams/1/reports/ranking ................. ~ 0.14ms
  2026-04-16 08:52:00 /api/exams/1/analytics/summary ............... ~ 0.17ms
  2026-04-16 08:52:00 /api/exams/1/analytics/item-analysis ......... ~ 0.16ms
  2026-04-16 08:52:00 /api/exams/1/reports/ranking ................. ~ 0.13ms
  2026-04-16 08:52:00 /api/exams/1/analytics/summary ............... ~ 0.16ms
  2026-04-16 08:52:00 /api/exams/1/analytics/item-analysis ......... ~ 0.15ms
  2026-04-16 08:52:00 /api/exams/1/reports/ranking ................. ~ 0.12ms
  2026-04-16 08:52:00 /api/exams/1/analytics/summary ............... ~ 0.17ms
  2026-04-16 08:52:00 /api/exams/1/analytics/item-analysis ......... ~ 0.15ms
  2026-04-16 08:52:00 /api/exams/1/reports/ranking ................. ~ 0.12ms
  2026-04-16 08:52:01 /api/exams/1/analytics/summary ............... ~ 0.03ms
  2026-04-16 08:52:01 /api/exams/1/analytics/item-analysis ......... ~ 0.16ms
  2026-04-16 08:52:01 /api/exams/1/reports/ranking ................. ~ 0.25ms
  2026-04-16 08:52:01 /api/exams/1/analytics/summary ............... ~ 0.29ms
  2026-04-16 08:52:01 /api/exams/1/analytics/item-analysis ......... ~ 0.15ms
  2026-04-16 08:52:01 /api/exams/1/reports/ranking ................. ~ 0.12ms
  2026-04-16 08:52:01 /api/exams/1/analytics/summary ............... ~ 0.16ms
  2026-04-16 08:52:01 /api/exams/1/analytics/item-analysis ......... ~ 0.15ms
  2026-04-16 08:52:01 /api/exams/1/reports/ranking ................. ~ 0.12ms
  2026-04-16 08:52:01 /api/exams/1/analytics/summary ............... ~ 0.16ms
  2026-04-16 08:52:01 /api/exams/1/analytics/item-analysis ......... ~ 0.15ms
  2026-04-16 08:52:01 /api/exams/1/reports/ranking ................. ~ 0.11ms
  2026-04-16 08:52:01 /api/exams/1/analytics/summary ............... ~ 0.21ms
  2026-04-16 08:52:01 /api/exams/1/analytics/item-analysis ......... ~ 0.60ms
  2026-04-16 08:52:01 /api/exams/1/reports/ranking ................. ~ 0.81ms
  2026-04-16 08:52:01 /api/exams/1/analytics/summary ............... ~ 0.60ms
  2026-04-16 08:52:01 /api/exams/1/analytics/item-analysis ......... ~ 0.36ms
  2026-04-16 08:52:01 /api/exams/1/reports/ranking ................. ~ 0.30ms
  2026-04-16 08:52:01 /api/exams/1/analytics/summary ............... ~ 0.36ms
  2026-04-16 08:52:01 /api/exams/1/analytics/item-analysis ......... ~ 0.36ms
  2026-04-16 08:52:01 /api/exams/1/reports/ranking ................. ~ 0.28ms
  2026-04-16 08:52:01 /api/exams/1/analytics/summary ............... ~ 0.59ms
  2026-04-16 08:52:01 /api/exams/1/analytics/item-analysis ......... ~ 0.25ms
  2026-04-16 08:52:01 /api/exams/1/reports/ranking ................. ~ 0.16ms
  2026-04-16 08:52:01 /api/exams/1/analytics/summary ............... ~ 0.04ms
  2026-04-16 08:52:01 /api/exams/1/analytics/item-analysis ......... ~ 0.20ms
  2026-04-16 08:52:01 /api/exams/1/reports/ranking ................. ~ 0.32ms
  2026-04-16 08:52:01 /api/exams/1/analytics/summary ............... ~ 0.37ms
  2026-04-16 08:52:01 /api/exams/1/analytics/item-analysis ......... ~ 0.21ms
  2026-04-16 08:52:01 /api/exams/1/reports/ranking ................. ~ 0.18ms
  2026-04-16 08:52:01 /api/exams/1/analytics/summary ............... ~ 0.21ms
  2026-04-16 08:52:01 /api/exams/1/analytics/item-analysis ......... ~ 0.21ms
  2026-04-16 08:52:01 /api/exams/1/reports/ranking ................. ~ 0.15ms
  2026-04-16 08:52:01 /api/exams/1/analytics/summary ............... ~ 0.21ms
  2026-04-16 08:52:01 /api/exams/1/analytics/item-analysis ......... ~ 0.19ms
  2026-04-16 08:52:01 /api/exams/1/reports/ranking ................. ~ 0.15ms
  2026-04-16 08:52:02 /api/exams/1/reports/export.pdf .............. ~ 0.25ms
  2026-04-16 08:53:20 /api/exams/1/reports/export.pdf .............. ~ 0.07ms
  2026-04-16 08:53:52 /api/exams/1/reports/export.pdf .............. ~ 0.06ms
